	LDC Tag - WD Q-name	LDC code - PB	A0	A1	A2	A3	A4	
LDC	artifactexistence.creation.unspecified	NEW	Creator = per, org, gpe, sid, event	Thing Created = abs, fac, com, veh, wea, pth, inf	Components/Material = com, nat	Place = fac, loc, gpe		
xpo	creation_Q11398090	create.01	A0-pag_Agent_creator = +organism_Q7239 | +machine_Q11019 | +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_Result_thing_created = +abstract_object_Q7184903 | +artificial_physical_object_Q8205328	A2-vsp_Material_materials_used = None	AM-LOC		
Comments								
								
LDC	artifactexistence.artifactfailure.mechanicalfailure	LDC_evt_152	MechanicalArtifact = com, veh, wea	Instrument = com, wea	Place  = fac, loc, gpe			
xpo	breakdown_Q28777323	break_down.12	A1-PPT_Patient_thing_broken_down = +physical_object_Q223557	A0-PAG_Agent_cause_of_breaking = +organism_Q7239 | +machine_Q11019	AM-LOC			
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.damage	LDC_evt_002	Damager = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
xpo	damage_Q481609	damage.01	A0-pag_agent_agent_causer = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295	A1-ppt_patient_entity damaged = +concrete_object_Q4406616	A2-mnr_instrument_instrument = +concrete_object_Q4406616	AM-LOC		
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.destroy	LDC_evt_003	Destroyer = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
xpo	destruction_Q17781833	annihilate.01, destroy.01, destruct.01	A0-pag_agent_destroyer = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295 | +health_problem_Q2057971	A1-ppt_patient_thing destroyed = +concrete_object_Q4406616 | +organism_Q7239 | +person_Q215627	A2-mnr_instrument_instrument of destruction = +concrete_object_Q4406616	AM-LOC		
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.disabledefuse	LDC_KAIROS_evt_003	Disabler = per, org, gpe, sid	Artifact = abs, com, fac, veh, wea	Instrument = abs, com, veh, wea	Place = fac, loc, gpe		
xpo	bomb_disposal_Q649416	disable.01, defuse.01	A0-pag_agent_defuser = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_bomb = +bomb_Q127197 | +concrete_object_Q4406616 | +abstract_object_Q7184903	AM-MNR	AM-LOC		
Comments	Nothing in WD, maybe bomb_disposal_Q649416							
								
LDC	artifactexistence.damagedestroydisabledismantle.dismantle	LDC_KAIROS_evt_004	Dismantler = per, org, gpe, sid	Artifact = com, fac, veh, wea	Instrument = com, veh	Components = com	Place = fac, loc, gpe	
xpo	disassembly_Q52161698	disassemble.01, dismantle.01	A0-pag_agent_agent = +organism_Q7239 | +person_Q215627 | +machine_Q11019 | +group_of_humans_Q16334295	A1-ppt_patient_thing_disassembled = +concrete_object_Q4406616 | +physical_object_Q223557	AM-MNR		AM-LOC	
Comments								
								
LDC	artifactexistence.damagedestroydisabledismantle.unspecified	LDC_KAIROS_evt_005	DamagerDestroyer = per, org, gpe, sid	Artifact = bal, com, fac, loc, mon, nat, pth, veh, wea	Instrument = com, veh, wea	Place = fac, loc, gpe		
xpo	damage_Q481609 | destruction_Q17781833 | disassembly_Q52161698		A0-pag_agent_xx = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_xx = +concrete_object_Q4406616 | +physical_object_Q223557 | geographic_entity_Q27096213	AM-MNR	AM-LOC		
Comments	Each has its own frame, but the numbered arguments, function tags, and VN thematic roles are the same. So we can ignore PB descriptions. But what to do with selectional restrictions?							
								
LDC	artifactexistence.manufactureassemble.unspecified	LDC_evt_096	ManufacturerAssembler = per, org, gpe, sid	Artifact = com	Components = com, veh, wea, pth	Instrument = com, veh, wea, fac	Place = loc, gpe, fac	
xpo	assembly_Q3625549 | manufacturing_Q187939	assemble.01, manufacture.01	A0-pag_agent_creator = +organism_Q7239 | +machine_Q11019 | +person_Q215627 | +group_of_humans_Q16334295	A1-prd_result_creation = +artificial_physical_object_Q8205328	A2-vsp_material_created-from_thing_changed = None	AM-MNR	AM-LOC	
Comments	same as AIDA manufacture.artifact.artifact							
								
LDC	artifactexistence.contamination.unspecified	NEW	Agent = per, org, gpe, sid, event	Thing Contaminated = bod, fac, com, nat, veh, wea	Contaminant = com, nat, pth, bod	Place = fac, loc, gpe		
xpo	contamination_Q60528603	contaminate.01	A0-pag_agent_causer_of_contamination = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A1-gol_Destination_thing_becoming_contaminated = +geographic_entity_Q27096213 | +concrete_object_Q4406616 	A2-ppt_theme_contaminant = +concrete_object_Q4406616	AM-LOC		
Comments	NEW EVENT, No LDC Argument yet							
								
LDC	artifactexistence.shortage.shortage	LDC_evt_149	Experiencer = per, org, gpe, sid	Supply  = bal, com, fac, mon, veh, wea	Place  = loc, gpe, fac			
xpo	scarcity_Q815758	provide.01	A2-gol_Recipient_xx = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_Theme_xx = None	AM-LOC			
Comments	There is nothing in PB that is similar to scarcity	CU used provide, as this is the negation of provide, so the arg roles should be the same, only with different descriptions. What would be the SelRes?						
								
LDC	cognitive.identifycategorize.unspecified	LDC_KAIROS_evt_007	Identifier = per, org, gpe, sid	IdentifiedObject = event, per, org, bal, com, fac, loc, mon, veh, wea, aml, bod, nat, pla, pth	IdentifiedRole = event, per, org, bal, com, fac, loc, mon, veh, wea, aml, bod, nat, pla, pth	Place  = loc, gpe, fac		
xpo	identification_Q3265221	identify.01	A0-pag_agent_caller = +organism_Q7239 | +person_Q215627 | +organization_Q43229	A1-ppt_theme_item_being_labelled = +concrete_object_Q4406616 | +organization_Q43229 | ???	A2-prd_attribute_attribute = None	AM-LOC		
Comments								
								
LDC	cognitive.inspection.sensoryobserve	LDC_KAIROS_evt_008	Observer = per, org, gpe, sid	ObservedEntity = per, org, gpe, sid, com, veh, wea, fac, bal, mon, mhi, aml, bod, nat, pla, pth, event	Instrument = com	Place  = loc, gpe, fac		
xpo	observation_Q193181	observe.01, watch.01, inspect.01	A0-ppt_experiencer_observer = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A1-pag_stimulus_thing_looked_at = None	AM-MNR	AM-LOC		
Comments								
								
LDC	inspection.targetaimat.targetaimat	LDC_evt_153	Targeter = per, org, gpe, sid	Target = bal, com, fac, gpe, loc, org, per, sid, veh, wea, mon	Instrument = wea, veh, com	Place = loc, gpe, fac		
xpo	targeting_Q7685924	target.01	A0-pag_agent_targeter = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_theme_thing_aimed_at = None	A2-mnr_Instrument_instrument = None	AM-LOC		
Comments								
								
LDC	cognitive.inspection.assesstestmeasure	NEW	Assessor = per, org, gpe, sid	Assessed = per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, mhi	Thing Assessed for = mhi, nat, pth	Result = val	Place = loc, gpe, fac	
xpo	estimation_process_Q791801	approximate.01, estimate.01	A0-pag_agent_estimator = +person_Q215627 | +group_of_humans_Q16334295 | +device_Q1183543	A1-ppt_theme_thing_estimated = +concrete_object_Q4406616 | +physical_object_Q223557 | ???		A2-PRD_value_estimated-to-be = ???	AM-LOC	
Comments								
								
LDC	cognitive.research.unspecified	LDC_KAIROS_evt_009	Researcher = per, org, gpe, sid	Subject = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf, abs, aml, bod, nat, pla, pth	Means = event, abs, inf, com	Place = loc, gpe, fac		
xpo	research_Q42240	research.01	A0-pag_agent_student = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_theme_subject = None	AM-MNR	AM-LOC		
Comments								
								
LDC	cognitive.teachingtraininglearning.unspecified	LDC_KAIROS_evt_010	TeacherTrainer = per, org, aml	FieldOfKnowledge = inf	Learner = per, org, com, aml, abs	Means = com, abs, inf	Institution = org	Place = loc, gpe, fac
xpo	education_Q8434	educate.01, train.01	A0-pag_agent_teacher = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295 | animal_Q729	A1-PPT_topic_subject = +information_Q11028 | +knowledge_Q9081	A2-gol_recipient_student = +person_Q215627 | +group_of_humans_Q16334295 | +organism_Q7239	AM-MNR		AM-LOC
Comments								
								
LDC	conflict.attack.airstrikemissilestrike	LDC_evt_005	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	airstrike_Q2380335	airstrike.12, strike.01	A0-pag_agent_striker = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_target_struck/attacked = None	A2-mnr_instrument_weapon = None	AM-LOC		
Comments								
								
LDC	conflict.attack.biologicalchemicalpoisonattack	LDC_evt_006	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	biological_warfare_Q8242560 | chemical_warfare_Q483610	kill.01	A0-pag_agent_animate_volitional_hitter = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_thing_hit = +person_Q215627 | +group_of_humans_Q16334295	A2-gol_instrument_instrument = +biological_weapon _Q170907 | +chemical_weapon_Q3639228	AM-LOC		
Comments	There are no specific corresponding PB role sets	attack.01 is criticizing, not physical attack.						
								
LDC	conflict.attack.detonateexplode	LDC_KAIROS_evt_011	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid, aml, pla, nat	Instrument = wea, com	ExplosiveDevice = wea, com	Place = loc, gpe, fac	
xpo	bomb_attack_Q891854	bomb.01, detonate.01	A0-pag_agent_attacker = +person_Q215627 | +group_of_humans_Q16334295 | +organism_Q7239	A1-ppt_patient_entity_bombed = +physical_object_Q223557	AM-MNR	A1-ppt_patient_bomb = +physical_object_Q223557	AM-LOC	
Comments	detonate.01 has ExplosiveDevice but not Target, bomb.01 the other way round. Can we take each from the roleset that has it?							
								
LDC	conflict.attack.firearmattack	LDC_evt_008	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	shooting_Q2252077	shoot.02	A0-pag_agent_shooter = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_corpse = +organism_Q7239 | +person_Q215627	A2-mnr_instrument_gun = +weapon_Q728	AM-LOC		
Comments								
								
LDC	conflict.attack.hanging	LDC_evt_009	Attacker = per, org, gpe, sid	Target = per	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	hanging_Q175111	hanging.07	A0-pag_agent_executioner = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_patient_corpse = +person_Q215627	AM-MNR	A2-loc_gallows = None		
Comments								
								
LDC	conflict.attack.invade	LDC_evt_010	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	invasion_Q467011	invade.01	A0-pag_agent_invader = +person_Q215627 | +group_of_humans_Q16334295 | +organism_Q7239	A1-ppt_patient_place_invaded = +physical_object_Q223557 | +geographic_entity_Q27096213	AM-MNR	AM-LOC		
Comments								
								
LDC	conflict.attack.selfdirectedbattle	LDC_evt_011	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	battle_Q178561	battle.01	A0-pag_agent_combatant = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A1-com_co-agent_fight_or_other_combatant = None	AM-MNR	AM-LOC		
Comments								
								
LDC	conflict.attack.setfire	LDC_evt_012	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	arson_Q327541	arson.01	A0-pag_X_fire-setter = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_X_property_burned = None	AM-MNR	AM-LOC		
Comments								
								
LDC	conflict.attack.stabbing	LDC_evt_013	Attacker = per, org, gpe, sid	Target = per	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	stabbing_Q464643	stab.01	A0-pag_agent_stabber = +machine_Q11019 | +person_Q215627 | +group_of_humans_Q16334295 | +artificial_physical_object_Q8205328	A1-ppt_patient_victim = +organism_Q7239 | +concrete_object_Q4406616	A2-mnr_instrument_sharp_implement = None	AM-LOC		
Comments								
								
LDC	conflict.attack.stealrobhijack - steal	LDC_evt_014	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac	Artifact = bal, com, fac, loc, mon, veh, wea	
xpo	theft_Q2727213	steal.01	A0-pag_agent_thief = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A2-dir_source_stolen_from = +organization_Q43229 | +geographic_entity_Q27096213	AM-MNR	AM-LOC	A1-ppt_theme_thing_stolen = +physical_object_Q223557	
Comments	should we keep these separate?							
								
LDC	conflict.attack.stealrobhijack - rob	LDC_evt_014	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac	Artifact = bal, com, fac, loc, mon, veh, wea	
xpo	robbery_Q53706	rob.01	A0-pag_agent_robber = +person_Q215627 | +group_of_humans_Q16334295	A1-dir_source_person_robbed = +person_Q215627 | +group_of_humans_Q16334295 | +geographic_entity_Q27096213	AM-MNR	AM-LOC	A2-ppt_theme_money_or_valuables = None	
Comments								
								
LDC	conflict.attack.stealrobhijack - hijack	LDC_evt_014	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac	Artifact = bal, com, fac, loc, mon, veh, wea	
xpo	hijacking_Q1933595	hijack.01	A0-pag_agent_hijacker = +person_Q215627 | +group_of_humans_Q16334295	A2-dir_X_pilot = None	AM-MNR	AM-LOC	A1-ppt_patient_airplane = +physical_object_Q223557	
Comments								
								
LDC	conflict.attack.stealrobhijack	LDC_evt_014	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac	Artifact = bal, com, fac, loc, mon, veh, wea	
xpo	theft_Q2727213 | robbery_Q53706 | hijacking_Q1933595	steal.01, rob.01, hijack.01	A0-pag_agent_xx = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	A2-dir_source_xx = +organization_Q43229 | +geographic_entity_Q27096213	AM-MNR	AM-LOC	A1-ppt_theme_xx = +physical_object_Q223557	
Comments	merged: main LDC event							
	ADD MERGE OF 3							
LDC	conflict.attack.strangling	LDC_evt_015	Attacker = per, org, gpe, sid	Target = per	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	strangling_Q1145328	strangulate.01	A0-pag_agent_strangler = +organism_Q7239 | +person_Q215627 | +weather_Q11663 | +machine_Q11019	A1-ppt_patient_victim = +organism_Q7239 | +person_Q215627	A2-mnr_instrument_instrument = None	AM-LOC		
Comments								
								
LDC	conflict.attack.unspecified	LDC_evt_004	Attacker = per, org, gpe, sid	Target = loc, gpe, fac, per, com, veh, wea, sid	Instrument = com, veh, wea	Place = loc, gpe, fac		
xpo	attack_Q1174599	assault.01	A0-pag_agent_assaulter = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_theme_entity_assaulted = +person_Q215627 | +group_of_humans_Q16334295	AM-MNR	AM-LOC		
Comments	attack.01 is: to make an attack, criticize strongly							
								
LDC	conflict.coup.coup	LDC_evt_151	DeposingEntity = per, org, gpe, sid	DeposedEntity = per, org	Place = loc, gpe, fac			
xpo	coup_d'̩tat_Q45382	coup.01, arrogate.01	A0-pag_agent_coup_stager = +person_Q215627 | +group_of_humans_Q16334295	A1-ppt_theme_overthrown government = None	AM-LOC			
Comments								
								
LDC	conflict.defeat.unspecified	LDC_KAIROS_evt_013	Victor = per, org, gpe, sid, aml	Defeated = per, org, gpe, sid, aml	ConflictOrElection = event	Place = loc, gpe, fac		
xpo	defeat_Q11499267	defeat.01, conquer.01	A0-pag_agent_conquering_hero = +person_Q215627 | +group_of_humans_Q16334295	A2-ppt_patient_defeated_entity = None	A1-ppt_patient_spoils	AM-LOC		
Comments								
								
LDC	conflict.demonstrate.demonstratewithviolence	LDC_KAIROS_evt_014	Demonstrator = per, org, sid	Regulator = per, org	VisualDisplay = com	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf, abs, aml, bod, nat, pla, pth	Target = org, per, gpe	Place = loc, gpe, fac
xpo	riot_Q124757	riot.01	A0-pag_X_rioter = +person_Q215627 | +group_of_humans_Q16334295			A1-cau_X_who/what_the_riot_is_against = None		AM-LOC
Comments								
								
LDC	conflict.demonstrate.marchprotestpoliticalgathering	LDC_evt_017	Demonstrator = per, org, sid	Place = loc, gpe, fac				
xpo	demonstration_Q175331	protest.01	A0-pag_agent_protester = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	AM-LOC				
Comments								
								
LDC	conflict.demonstrate.unspecified	LDC_evt_016	Demonstrator = per, org, sid	Place = loc, gpe, fac				
xpo	demonstration_Q175331	protest.01	A0-pag_agent_protester = +organism_Q7239 | +person_Q215627 | +group_of_humans_Q16334295	AM-LOC				
Comments								
								
LDC	conflict.yield.unspecified	LDC_evt_018	Yielder = per, org, gpe, sid	Recipient = loc, gpe, fac, per, com, veh, wea, sid	Place = loc, gpe, fac			
xpo	withdrawal_Q1760704 | surrender_Q3769366	yield.02	A0-pag_Agent_Thing_giving_way	A1-gol_Pivot_recipient	AM-LOC			
Comments	see withdrawal_Q1760704 and surrender_Q3769366 below							
								
LDC	conflict.yield.retreat	LDC_evt_019	Retreater = per, org, gpe, sid	Origin = loc, gpe, fac, per, com, veh, wea, sid	Destination = loc, gpe, fac			
xpo	withdrawal_Q1760704	retreat.01	A1-ppt_agent_retreater = +concrete_object_Q4406616 | +organism_Q7239  | +person_Q215627 | +group_of_humans_Q16334295	A2-dir_source_scary_thing = None	AM-GOL			
Comments								
								
LDC	conflict.yield.surrender	LDC_evt_020	Surrenderer = per, org, gpe, sid	Recipient = loc, gpe, fac, per, com, veh, wea, sid	Place = loc, gpe, fac			
xpo	surrender_Q3769366	surrender.01	A0-pag_agent_one_surrendering = +person_Q215627 | +group_of_humans_Q16334295	A2-gol_Recipient_victor = +organism_Q7239  | +person_Q215627 | +group_of_humans_Q16334295	AM-LOC			
Comments								
								
LDC	contact.collaborate.correspondence	LDC_evt_022	Participant = per, org, gpe, sid	Participant = per, org, gpe, sid	Place = loc, gpe, fac			
xpo	collaboration_Q1145523	collaborate.01	A0-pag_Agent_focussed party  = +person_Q215627 | +group_of_humans_Q16334295	A1-com_Co-Agent_second_party =  +person_Q215627 | +group_of_humans_Q16334295	AM-LOC			
Comments								
								
LDC	contact.collaborate.meet	LDC_evt_023	Participant = per, org, gpe, sid	Participant = per, org, gpe, sid	Place = loc, gpe, fac			
xpo	collaboration_Q1145523	collaborate.01	A0-pag_Agent_focussed party  = +person_Q215627 | +group_of_humans_Q16334295	A1-com_Co-Agent_second_party =  +person_Q215627 | +group_of_humans_Q16334295	AM-LOC			
Comments								
								
LDC	contact.collaborate.unspecified	LDC_evt_021	Participant = per, org, gpe, sid	Participant = per, org, gpe, sid	Place = loc, gpe, fac			
xpo	collaboration_Q1145523	collaborate.01	A0-pag_Agent_focussed party  = +person_Q215627 | +group_of_humans_Q16334295	A1-com_Co-Agent_second_party =  +person_Q215627 | +group_of_humans_Q16334295	AM-LOC			
Comments								
								
LDC	contact.commitmentpromiseexpressintent.broadcast	LDC_evt_029	Communicator = per, org, gpe, sid	Recipient = per, org, gpe, sid	Place = loc, gpe, fac	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf		
xpo	promise_Q1425577	promise.01	A0-pag_agent_promiser = +person_Q215627 | +group_of_humans_Q16334295	A1-gol_goal_person_promised_to = +person_Q215627 | +group_of_humans_Q16334295	AM-LOC	A2-ppt_theme_promised_action = None		
Comments	stay with promise							
								
LDC	contact.commitmentpromiseexpressintent.correspondence	LDC_evt_030	Communicator = per, org, gpe, sid	Recipient = per, org, gpe, sid	Place = loc, gpe, fac	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf		
xpo	promise_Q1425577	promise.01	A0-pag_agent_promiser = +person_Q215627 | +group_of_humans_Q16334295	A1-gol_goal_person_promised_to = +person_Q215627 | +group_of_humans_Q16334295	AM-LOC	A2-ppt_theme_promised_action = None		
Comments								
								
LDC	contact.commitmentpromiseexpressintent.meet	LDC_evt_31	Communicator = per, org, gpe, sid	Recipient = per, org, gpe, sid	Place = loc, gpe, fac	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf		
xpo	promise_Q1425577	promise.01	A0-pag_agent_promiser = +person_Q215627 | +group_of_humans_Q16334295	A1-gol_goal_person_promised_to = +person_Q215627 | +group_of_humans_Q16334295	AM-LOC	A2-ppt_theme_promised_action = None		
Comments								
								
LDC	contact.commitmentpromiseexpressintent.unspecified	LDC_evt_028	Communicator = per, org, gpe, sid	Recipient = per, org, gpe, sid	Place = loc, gpe, fac	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf		
xpo	promise_Q1425577	promise.01	A0-pag_agent_promiser = +person_Q215627 | +group_of_humans_Q16334295	A1-gol_goal_person_promised_to = +person_Q215627 | +group_of_humans_Q16334295	AM-LOC	A2-ppt_theme_promised_action = None		
Comments								
								
LDC	contact.contact.broadcast	LDC_KAIROS_evt_016	Communicator = per, org, gpe, sid	Recipient = per, org, gpe, sid	Instrument = abs, com	Topic = event, per, org, gpe, sid, loc, fac, veh, wea, com, bal, mon, law, res, val, mhi, inf, abs, aml, bod, nat, pla, pth	Place = loc, gpe, fac	
xpo	announcement_Q567303	announce.01	A0-pag_agent_announcer = +organization_Q43229 | +person_Q215627 | +group_of_humans_Q16334295	A2-gol_recipient_hearer = +organism_Q7239 | +organization_Q43229	AM-MNR	A1-ppt_topic_utterance = +information_Q11028	AM-LOC	
Comments								
								
